Stats for Stats

Words with no chain: WYD--> INC
Word with longest chain:
WYD-->I-->S-->M

		Frequency Distribution
Frequency		Value
0		80
1		43
2		323
3		1111
4		384
5		302
6		175
7		131
8		77
9		52
10		22
11		35
12		23
13		24
14		10
15		10
16		16
17		6
18		12
19		10
20		12
22		11
23		6
24		1
25		6
26		5
27		7
28		6
29		4
30		14
31		21
32		9
33		3
34		3
35		11
36		15
37		1
38		4
39		2
40		3
41		8
42		2
43		3
44		2
46		1
47		2
49		3
50		4
51		4
52		1
53		1
55		2
56		2
59		3
60		5
61		3
62		1
63		3
64		2
65		4
66		1
67		2
68		3
69		1
70		2
71		1
73		1
74		3
75		3
77		4
78		2
79		4
80		1
83		2
84		3
85		2
90		2
95		1
98		1
118		1
126		1
142		1
148		1
149		2
151		1
154		1
155		1
159		1
168		2
170		1
174		1
182		2
195		1
226		1
251		1
254		1
264		1
265		1
273		1
283		1
288		1
